id_speaker	nome	cognome	sesso	legislatura	inizioMandato	fineMandato	tipoMandato	tipoFineMandato	dataNascita	cittaNascita	cittaNascita_geoname	provinciaNascita	nazioneNascita	idCamera	url_scheda
10063	Renato	Balduzzi	M	17	2013-03-15	2014-09-26	deputato		1955-02-12	Voghera	https://www.geonames.org/3163995	Pavia	Italia	http://dati.camera.it/ocd/persona.rdf/p305008	http://www.senato.it/leg/17/BGT/Schede/Attsen/00010063.htm
29446	Giuseppe	L'Abbate	M	17	2013-03-15	2018-03-22	deputato		1985-03-13	Castellana Grotte	https://www.geonames.org/3179656	Bari	Italia	http://dati.camera.it/ocd/persona.rdf/p305842	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029446.htm
29446	Giuseppe	L'Abbate	M	18	2018-03-23		deputato		1985-03-13	Castellana Grotte	https://www.geonames.org/3179656	Bari	Italia	http://dati.camera.it/ocd/persona.rdf/p305842	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029446.htm
34697	Elena	Bonetti	F				other		1974-04-12	Asola	https://www.geonames.org/3182734	Mantova	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00034697.htm
25521	Nunzia	De Girolamo	F	17	2013-03-15	2018-03-22	deputato		1975-10-10	Benevento	https://www.geonames.org/3182178	Benevento	Italia	http://dati.camera.it/ocd/persona.rdf/p302786	http://www.senato.it/leg/17/BGT/Schede/Attsen/00025521.htm
29397	Vittorio	Ferraresi	M	17	2013-03-15	2018-03-22	deputato		1987-09-21	Cento	https://www.geonames.org/3179162	Ferrara	Italia	http://dati.camera.it/ocd/persona.rdf/p305972	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029397.htm
29397	Vittorio	Ferraresi	M	18	2018-03-23		deputato		1987-09-21	Cento	https://www.geonames.org/3179162	Ferrara	Italia	http://dati.camera.it/ocd/persona.rdf/p305972	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029397.htm
30095	Fabrizio	Saccomanni	M				other		1942-11-22	Roma	https://www.geonames.org/3169069	Roma	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030095.htm
30110	Carlo	Calenda	M				other		1973-04-09	Roma	https://www.geonames.org/3169069	Roma	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030110.htm
30745	Federica	Guidi	F				other		1969-05-19	Modena	https://www.geonames.org/3173330	Modena	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030745.htm
30750	Roberto	Reggi	M				other		1960-10-20	Fiorenzuola d'Arda	https://www.geonames.org/3176964	Piacenza	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030750.htm
33754	Alberto	Bonisoli	M				other		1961-12-26	Castel d'Ario	https://www.geonames.org/3179724	Mantova	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00033754.htm
17690	Maurizio	Lupi	M	17	2013-03-15	2018-03-22	deputato		1959-10-03	Milano	https://www.geonames.org/3173434	Milano	Italia	http://dati.camera.it/ocd/persona.rdf/p300447	http://www.senato.it/leg/17/BGT/Schede/Attsen/00017690.htm
22932	Paolo	Fadda	M				other		1950-06-26	Villa San Pietro	https://www.geonames.org/2523385	Cagliari	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00022932.htm
23041	Guglielmo	Picchi	M	17	2013-03-15	2018-03-22	deputato		1973-04-26	Firenze	https://www.geonames.org/3176958	Firenze	Italia	http://dati.camera.it/ocd/persona.rdf/p301500	http://www.senato.it/leg/18/BGT/Schede/Attsen/00023041.htm
23041	Guglielmo	Picchi	M	18	2018-03-23		deputato		1973-04-26	Firenze	https://www.geonames.org/3176958	Firenze	Italia	http://dati.camera.it/ocd/persona.rdf/p301500	http://www.senato.it/leg/18/BGT/Schede/Attsen/00023041.htm
25488	Rocco	Girlanda	M				other		1966-01-31	Gubbio	https://www.geonames.org/3175687	Perugia	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00025488.htm
29201	Mario	Giro	M				other		1958-07-29	Roma	https://www.geonames.org/3169069	Roma	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00029201.htm
29364	Fabiana	Dadone	F	17	2013-03-15	2018-03-22	deputato		1984-02-12	Cuneo	https://www.geonames.org/3177699	Cuneo	Italia	http://dati.camera.it/ocd/persona.rdf/p306020	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029364.htm
29364	Fabiana	Dadone	F	18	2018-03-23		deputato		1984-02-12	Cuneo	https://www.geonames.org/3177699	Cuneo	Italia	http://dati.camera.it/ocd/persona.rdf/p306020	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029364.htm
32907	Emanuela Claudia	Del Re	F	18	2018-03-23		deputato		1963-12-06	Roma	https://www.geonames.org/3169069	Roma	Italia	http://dati.camera.it/ocd/persona.rdf/p307437	http://www.senato.it/leg/18/BGT/Schede/Attsen/00032907.htm
34694	Paola	Pisano	F				other		1977-01-04	Torino	https://www.geonames.org/3165523	Torino	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00034694.htm
5111	Jole	Santelli	F	17	2013-03-15	2018-03-22	deputato		1968-12-28	Cosenza	https://www.geonames.org/2524906	Cosenza	Italia	http://dati.camera.it/ocd/persona.rdf/p300306	http://www.senato.it/leg/17/BGT/Schede/Attsen/00005111.htm
17783	Marina	Sereni	F	17	2013-03-15	2018-03-22	deputato		1960-05-08	Foligno	https://www.geonames.org/3176854	Perugia	Italia	http://dati.camera.it/ocd/persona.rdf/p300231	http://www.senato.it/leg/18/BGT/Schede/Attsen/00017783.htm
17846	Dorina	Bianchi	F	17	2013-03-15	2018-03-22	deputato		1966-06-03	Pisa	https://www.geonames.org/3170646	Pisa	Italia	http://dati.camera.it/ocd/persona.rdf/p300274	http://www.senato.it/leg/17/BGT/Schede/Attsen/00017846.htm
19891	Vittorio Umberto	Grilli	M				other		1957-05-19	Milano	https://www.geonames.org/3173434	Milano	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00019891.htm
20506	Filippo	Patroni Griffi	M				other		1955-08-27	Napoli	https://www.geonames.org/3172391	Napoli	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00020506.htm
29352	Davide	Crippa	M	17	2013-03-15	2018-03-22	deputato		1979-04-11	Novara	https://www.geonames.org/3172188	Novara	Italia	http://dati.camera.it/ocd/persona.rdf/p306022	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029352.htm
29352	Davide	Crippa	M	18	2018-03-23		deputato		1979-04-11	Novara	https://www.geonames.org/3172188	Novara	Italia	http://dati.camera.it/ocd/persona.rdf/p306022	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029352.htm
29385	Manlio	Di Stefano	M	17	2013-03-15	2018-03-22	deputato		1981-05-16	Palermo	https://www.geonames.org/2523918	Palermo	Italia	http://dati.camera.it/ocd/persona.rdf/p306228	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029385.htm
29385	Manlio	Di Stefano	M	18	2018-03-23		deputato		1981-05-16	Palermo	https://www.geonames.org/2523918	Palermo	Italia	http://dati.camera.it/ocd/persona.rdf/p306228	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029385.htm
30132	Erasmo	D'Angelis	M				other		1955-02-17	Formia	https://www.geonames.org/3176738	Latina	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030132.htm
32929	Lorenzo	Fontana	M	18	2018-03-23		deputato		1980-04-10	Verona	https://www.geonames.org/3164526	Verona	Italia	http://dati.camera.it/ocd/persona.rdf/p307591	http://www.senato.it/leg/18/BGT/Schede/Attsen/00032929.htm
2193	Paolo	Savona	M				other		1936-10-06	Cagliari	https://www.geonames.org/2525471	Cagliari	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00002193.htm
25555	Francesco	Boccia	M	17	2013-03-15	2018-03-22	deputato		1968-03-18	Bisceglie	https://www.geonames.org/3182007	Barletta-Andria-Trani	Italia	http://dati.camera.it/ocd/persona.rdf/p302892	http://www.senato.it/leg/18/BGT/Schede/Attsen/00025555.htm
25555	Francesco	Boccia	M	18	2018-03-23		deputato		1968-03-18	Bisceglie	https://www.geonames.org/3182007	Barletta-Andria-Trani	Italia	http://dati.camera.it/ocd/persona.rdf/p302892	http://www.senato.it/leg/18/BGT/Schede/Attsen/00025555.htm
29435	Lorenzo	Guerini	M	17	2013-03-15	2018-03-22	deputato		1966-11-21	Lodi	https://www.geonames.org/6458617	Lodi	Italia	http://dati.camera.it/ocd/persona.rdf/p305624	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029435.htm
29435	Lorenzo	Guerini	M	18	2018-03-23		deputato		1966-11-21	Lodi	https://www.geonames.org/6458617	Lodi	Italia	http://dati.camera.it/ocd/persona.rdf/p305624	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029435.htm
30094	Carlo	Trigilia	M				other		1951-06-18	Siracusa	https://www.geonames.org/2523082	Siracusa	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030094.htm
30096	Flavio	Zanonato	M				other		1950-07-24	Padova	https://www.geonames.org/3171727	Padova	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030096.htm
30097	Enrico	Giovannini	M				other		1957-06-06	Roma	https://www.geonames.org/3169069	Roma	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030097.htm
33833	Michele	Geraci	M				other		1966-01-01	Palermo	https://www.geonames.org/2523918	Palermo	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00033833.htm
5424	Antonio	Catricalà	M				other		1952-02-07	Catanzaro	https://www.geonames.org/2525058	Catanzaro	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00005424.htm
22174	Gianfranco	Polillo	M				other		1944-01-01	Roma	https://www.geonames.org/3169069	Roma	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00022174.htm
22959	Maurizio	Fugatti	M	18	2018-03-23	2019-01-09	deputato		1972-04-07	Bussolengo	https://www.geonames.org/3181359	Verona	Italia	http://dati.camera.it/ocd/persona.rdf/p302155	http://www.senato.it/leg/18/BGT/Schede/Attsen/00022959.htm
25455	Federica	Mogherini	F	17	2013-03-15	2014-10-30	deputato		1973-06-16	Roma	https://www.geonames.org/3169069	Roma	Italia	http://dati.camera.it/ocd/persona.rdf/p302831	http://www.senato.it/leg/17/BGT/Schede/Attsen/00025455.htm
27410	Edoardo	Rixi	M	18	2018-03-23		deputato		1974-06-08	Genova	https://www.geonames.org/3176217	Genova	Italia	http://dati.camera.it/ocd/persona.rdf/p304521	http://www.senato.it/leg/18/BGT/Schede/Attsen/00027410.htm
28559	Fabrizio	Barca	M				other		1954-03-08	Torino	https://www.geonames.org/3165523	Torino	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00028559.htm
28572	Staffan	De Mistura	M				other		1947-01-25	Stoccolma	https://www.geonames.org/2673730		Svezia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00028572.htm
28582	Marco	Rossi Doria	M				other		1954-03-19	Napoli	https://www.geonames.org/3172391	Napoli	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00028582.htm
28623	Bruno	Archi	M	17	2013-03-15	2018-03-22	deputato		1962-04-14	Bruxelles	https://www.geonames.org/2800867		Belgio	http://dati.camera.it/ocd/persona.rdf/p306264	http://www.senato.it/leg/17/BGT/Schede/Attsen/00028623.htm
29319	Maria Chiara	Carrozza	F	17	2013-03-15	2018-03-22	deputato		1965-09-16	Pisa	https://www.geonames.org/3170646	Pisa	Italia	http://dati.camera.it/ocd/persona.rdf/p306110	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029319.htm
29445	Cecile	Kyenge	F	17	2013-03-15	2018-03-22	deputato		1964-08-28	Kambove	https://www.geonames.org/9179191		Congo	http://dati.camera.it/ocd/persona.rdf/p305827	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029445.htm
29461	Luca	Lotti	F	17	2013-03-15	2018-03-22	deputato		1982-06-20	Empoli	https://www.geonames.org/3177400	Firenze	Italia	http://dati.camera.it/ocd/persona.rdf/p306128	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029461.htm
